Opened,Closed,Symbol,Exp,Type,Legs,Quantity,Status,P/L,Risk,ROR,Premium,Reward/Risk,Open Price,Open Bid Price,Open Ask Price,Close Price,Close Bid Price,Close Ask Price,Max Loss,Max Profit,Price at Open,Price at Close
"Jun 21, 2023 10:00am","Jun 21, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,380 / short put 4,390 / short call 4,390 / long call 4,400","1","expired","-107","107","-100","893","834.58","8.93","8.3","9.55","10","","","107","893","4368.33","4365.69"
"Jun 22, 2023 10:00am","Jun 22, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,355 / short put 4,365 / short call 4,365 / long call 4,375","1","expired","-190","190","-100","810","426.32","8.1","7.7","8.5","10","","","190","810","4363.85","4381.89"
"Jun 23, 2023 10:00am","Jun 23, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,370 / short put 4,380 / short call 4,380 / long call 4,390","1","expired","-68","68","-100","932","1370.59","9.32","8.6","10.05","10","","","68","932","4349.66","4348.33"
"Jun 26, 2023 10:00am","Jun 26, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,340 / short put 4,350 / short call 4,350 / long call 4,360","1","expired","-175","175","-100","825","471.43","8.25","7.95","8.55","10","","","175","825","4359.53","4328.82"
"Jun 28, 2023 10:00am","Jun 28, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,370 / short put 4,380 / short call 4,380 / long call 4,390","1","expired","524","162","323.46","838","517.28","8.38","7.95","8.8","3.14","","","162","838","4367.95","4376.86"
"Jun 29, 2023 10:00am","Jun 29, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,365 / short put 4,375 / short call 4,375 / long call 4,385","1","expired","-175","175","-100","825","471.43","8.25","7.8","8.7","10","","","175","825","4382.79","4396.44"
"Jul 5, 2023 10:00am","Jul 5, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,445 / short put 4,455 / short call 4,455 / long call 4,465","1","expired","-30","212","-14.15","788","371.7","7.88","7.55","8.2","8.18","","","212","788","4447.99","4446.82"
"Jul 7, 2023 10:00am","Jul 7, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,400 / short put 4,410 / short call 4,410 / long call 4,420","1","expired","-193","193","-100","807","418.13","8.07","7.8","8.35","10","","","193","807","4415.48","4398.95"
"Jul 10, 2023 10:00am","Jul 10, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,390 / short put 4,400 / short call 4,400 / long call 4,410","1","expired","-153","200","-76.5","800","400","8","7.6","8.4","9.53","","","200","800","4405.28","4409.53"
"Jul 11, 2023 10:00am","Jul 11, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,400 / short put 4,410 / short call 4,410 / long call 4,420","1","expired","-193","193","-100","807","418.13","8.07","7.8","8.35","10","","","193","807","4417.55","4439.26"
"Jul 13, 2023 10:00am","Jul 13, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,460 / short put 4,470 / short call 4,470 / long call 4,480","1","expired","-61","61","-100","939","1539.34","9.39","9","9.8","10","","","61","939","4498.09","4510.04"
